Items.money	Eddies (money)	MONEY	MISC
Ammo.HandgunAmmo	Handgun ammo	AMMO	AMMO
Ammo.RifleAmmo	Rifle ammo	AMMO	AMMO
Ammo.ShotgunAmmo	Shotgun ammo	AMMO	AMMO
Ammo.SniperRifleAmmo	Sniper ammo	AMMO	AMMO
Items.GrenadeBiohazardHoming	Grenade Biohazard Homing	GRENADE	AMMO
Items.GrenadeBiohazardLegendary	Grenade Biohazard Legendary	GRENADE	AMMO
Items.GrenadeBiohazardRegular	Grenade Biohazard Regular	GRENADE	AMMO
Items.GrenadeBiohazardRegularHack	Grenade Biohazard Regular Hack	GRENADE	AMMO
Items.GrenadeCuttingRegular	Grenade Cutting Regular	GRENADE	AMMO
Items.GrenadeEMPLegendary	Grenade EMPLegendary	GRENADE	AMMO
Items.GrenadeEMPRare	Grenade EMPRare	GRENADE	AMMO
Items.GrenadeEMPRegular	Grenade EMPRegular	GRENADE	AMMO
Items.GrenadeEMPRegularHack	Grenade EMPRegular Hack	GRENADE	AMMO
Items.GrenadeEMPSticky	Grenade EMPSticky	GRENADE	AMMO
Items.GrenadeEMPUncommon	Grenade EMPUncommon	GRENADE	AMMO
Items.GrenadeFlashEpic	Grenade Flash Epic	GRENADE	AMMO
Items.GrenadeFlashHoming	Grenade Flash Homing	GRENADE	AMMO
Items.GrenadeFlashLegendary	Grenade Flash Legendary	GRENADE	AMMO
Items.GrenadeFlashRegular	Grenade Flash Regular	GRENADE	AMMO
Items.GrenadeFlashUncommon	Grenade Flash Uncommon	GRENADE	AMMO
Items.GrenadeFragEpic	Grenade Frag Epic	GRENADE	AMMO
Items.GrenadeFragLegendary	Grenade Frag Legendary	GRENADE	AMMO
Items.GrenadeFragRegular	Grenade Frag Regular	GRENADE	AMMO
Items.GrenadeFragRegularHack	Grenade Frag Regular Hack	GRENADE	AMMO
Items.GrenadeFragSticky	Grenade Frag Sticky	GRENADE	AMMO
Items.GrenadeFragUncommon	Grenade Frag Uncommon	GRENADE	AMMO
Items.GrenadeIncendiaryLegendary	Grenade Incendiary Legendary	GRENADE	AMMO
Items.GrenadeIncendiaryRare	Grenade Incendiary Rare	GRENADE	AMMO
Items.GrenadeIncendiaryRegular	Grenade Incendiary Regular	GRENADE	AMMO
Items.GrenadeIncendiaryRegularHack	Grenade Incendiary Regular Hack	GRENADE	AMMO
Items.GrenadeIncendiarySticky	Grenade Incendiary Sticky	GRENADE	AMMO
Items.GrenadeOzobsNose	Grenade Ozobs Nose	GRENADE	AMMO
Items.GrenadeReconLegendary	Grenade Recon Legendary	GRENADE	AMMO
Items.GrenadeReconRare	Grenade Recon Rare	GRENADE	AMMO
Items.GrenadeReconRegular	Grenade Recon Regular	GRENADE	AMMO
Items.GrenadeReconSticky	Grenade Recon Sticky	GRENADE	AMMO
Items.GrenadeSmokeEpic	Grenade Smoke Epic	GRENADE	AMMO
Items.GrenadeSmokeLegendary	Grenade Smoke Legendary	GRENADE	AMMO
Items.GrenadeSmokeRare	Grenade Smoke Rare	GRENADE	AMMO
Items.GrenadeSmokeRegular	Grenade Smoke Regular	GRENADE	AMMO
Items.Preset_Achilles_Nash_Epic	Achilles Nash Epic	WEAPON	WEAPON
Items.Preset_Achilles_Nash_Legendary	Achilles Nash Legendary	WEAPON	WEAPON
Items.Preset_Ajax_Moron	Ajax Moron	WEAPON	WEAPON
Items.Preset_Ajax_Moron_Legendary	Ajax Moron Legendary	WEAPON	WEAPON
Items.Preset_Baseball_Bat_Denny_Epic	Baseball Bat Denny Epic	WEAPON	WEAPON
Items.Preset_Baseball_Bat_Denny_Legendary	Baseball Bat Denny Legendary	WEAPON	WEAPON
Items.Preset_Baton_Tinker_Bell_Epic	Baton Tinker Bell Epic	WEAPON	WEAPON
Items.Preset_Baton_Tinker_Bell_Legendary	Baton Tinker Bell Legendary	WEAPON	WEAPON
Items.Preset_Burya_Comrade	Burya Comrade	WEAPON	WEAPON
Items.Preset_Burya_Comrade_Legendary	Burya Comrade Legendary	WEAPON	WEAPON
Items.Preset_Butchers_Knife_Iconic_Epic	Butchers Knife Iconic Epic	WEAPON	WEAPON
Items.Preset_Butchers_Knife_Iconic_Legendary	Butchers Knife Iconic Legendary	WEAPON	WEAPON
Items.Preset_Cane_Fingers_Epic	Cane Fingers Epic	WEAPON	WEAPON
Items.Preset_Cane_Fingers_Legendary	Cane Fingers Legendary	WEAPON	WEAPON
